name,category,ingredients,ingredients_str,label,no_numbers_units,processed_ingredients
Strawberry Rhubarb Pie,Dessert,"['350g Flour', '1 tsp Salt', '2 tbs Sugar', '1 cup Butter', '1/2 cup Water', '450g Rhubarb', '450g Strawberries', '3 tbs Cornstarch', '150g Sugar', '1/4 tsp Cinnamon', '1 tsp Lemon Juice', '2 tbs Unsalted Butter', '2 tbs Milk', 'Spinkling Sugar']",350g Flour | 1 tsp Salt | 2 tbs Sugar | 1 cup Butter | 1/2 cup Water | 450g Rhubarb | 450g Strawberries | 3 tbs Cornstarch | 150g Sugar | 1/4 tsp Cinnamon | 1 tsp Lemon Juice | 2 tbs Unsalted Butter | 2 tbs Milk | Spinkling Sugar,Non-Meat, flour |  salt |  sugar |  butter |  water |  rhubarb |  strawberries |  cornstarch |  sugar |  cinnamon |  lemon juice |  unsalted butter |  milk | spinkling sugar,flour salt sugar butter water rhubarb strawberri cornstarch sugar cinnamon lemon juic unsalt butter milk spinkl sugar
Sugar Pie,Dessert,"['2 cups Brown Sugar', '¼ cup Butter', '2 Eggs', '1 tsp Vanilla Extract', '1 tsp Salt', '½ cup Plain Flour', '1 1/2 cups Milk']",2 cups Brown Sugar | ¼ cup Butter | 2 Eggs | 1 tsp Vanilla Extract | 1 tsp Salt | ½ cup Plain Flour | 1 1/2 cups Milk,Non-Meat, brown sugar | ¼ cup butter |  eggs |  vanilla extract |  salt |  plain flour |   milk,brown sugar ¼ cup butter egg vanilla extract salt plain flour milk
Summer Pudding,Dessert,"['300g Strawberries', '250g Blackberries', '100g Redcurrants', '500g Raspberries', '175g Caster Sugar', '7 Slices Bread']",300g Strawberries | 250g Blackberries | 100g Redcurrants | 500g Raspberries | 175g Caster Sugar | 7 Slices Bread,Non-Meat, strawberries |  blackberries |  redcurrants |  raspberries |  caster sugar |  bread,strawberri blackberri redcurr raspberri caster sugar bread
Tarte Tatin,Dessert,"['300g Puff Pastry', 'Dusting Plain Flour', '6 Braeburn Apples', '100g Caster Sugar', '85g Butter', 'to serve Creme Fraiche']",300g Puff Pastry | Dusting Plain Flour | 6 Braeburn Apples | 100g Caster Sugar | 85g Butter | to serve Creme Fraiche,Non-Meat, puff pastry | dusting plain flour |  braeburn apples |  caster sugar |  butter | to serve creme fraiche,puff pastri dust plain flour braeburn appl caster sugar butter serv creme fraich
Timbits,Dessert,"['2 cups Flour', '1/3 cup Sugar', '3 tsp Baking Powder', '½ tsp Salt', '1 beaten Egg', '¾ cup Milk', '3 tbs Oil', 'for frying Oil', 'garnish Icing Sugar']",2 cups Flour | 1/3 cup Sugar | 3 tsp Baking Powder | ½ tsp Salt | 1 beaten Egg | ¾ cup Milk | 3 tbs Oil | for frying Oil | garnish Icing Sugar,Non-Meat, flour |  sugar |  baking powder |  salt |  beaten egg | ¾ cup milk |  oil | for frying oil | garnish icing sugar,flour sugar bake powder salt beaten egg ¾ cup milk oil fri oil garnish ice sugar
Treacle Tart,Dessert,"['250g Plain Flour', '135g Butter', '400g Golden Syrup', '150g Breadcrumbs', 'Zest of 2 Lemons', '1 beaten Eggs']",250g Plain Flour | 135g Butter | 400g Golden Syrup | 150g Breadcrumbs | Zest of 2 Lemons | 1 beaten Eggs,Non-Meat, plain flour |  butter |  golden syrup |  breadcrumbs | zest of  lemons |  beaten eggs,plain flour butter golden syrup breadcrumb zest lemon beaten egg
Tunisian Orange Cake,Dessert,"['1 large Orange', '300g Caster Sugar', '75 ml Olive Oil', '280g Flour', '1 tbs Baking Powder', '4 large Eggs', '2 tsp Vanilla Extract']",1 large Orange | 300g Caster Sugar | 75 ml Olive Oil | 280g Flour | 1 tbs Baking Powder | 4 large Eggs | 2 tsp Vanilla Extract,Non-Meat, large orange |  caster sugar |  olive oil |  flour |  baking powder |  large eggs |  vanilla extract,larg orang caster sugar oliv oil flour bake powder larg egg vanilla extract
Walnut Roll Gužvara,Dessert,"['450g Flour', '55g Caster Sugar', '2 parts Yeast', '1/2 tsp Salt', '6 oz Milk', '2 Beaten Eggs', '30g Butter', '140g Walnuts', '85g Butter', '85g Brown Sugar', '1 tsp Cinnamon', 'To Glaze Milk', 'To Glaze Icing Sugar']",450g Flour | 55g Caster Sugar | 2 parts Yeast | 1/2 tsp Salt | 6 oz Milk | 2 Beaten Eggs | 30g Butter | 140g Walnuts | 85g Butter | 85g Brown Sugar | 1 tsp Cinnamon | To Glaze Milk | To Glaze Icing Sugar,Non-Meat, flour |  caster sugar |  parts yeast |  salt |  milk |  beaten eggs |  butter |  walnuts |  butter |  brown sugar |  cinnamon | to glaze milk | to glaze icing sugar,flour caster sugar part yeast salt milk beaten egg butter walnut butter brown sugar cinnamon glaze milk glaze ice sugar
White chocolate creme brulee,Dessert,"['568ml Double Cream', '100g White Chocolate Chips', 'Pod of Vanilla', '6 Egg Yolks', '2 tbs Caster Sugar', 'Top Caster Sugar']",568ml Double Cream | 100g White Chocolate Chips | Pod of Vanilla | 6 Egg Yolks | 2 tbs Caster Sugar | Top Caster Sugar,Non-Meat, double cream |  white chocolate chips | pod of vanilla |  egg yolks |  caster sugar | top caster sugar,doubl cream white chocol chip pod vanilla egg yolk caster sugar top caster sugar
Kapsalon,Lamb,"['250 Grams Fries', '500 Grams Doner Meat', 'Topping Garlic sauce', 'Topping Hotsauce', '1 Bulb Lettuce', '1 Tomato', '3rd Cucumber', '100 Grams Gouda cheese']",250 Grams Fries | 500 Grams Doner Meat | Topping Garlic sauce | Topping Hotsauce | 1 Bulb Lettuce | 1 Tomato | 3rd Cucumber | 100 Grams Gouda cheese,Meat, fries |  doner meat | topping garlic sauce | topping hotsauce |  bulb lettuce |  tomato | 3rd cucumber |  gouda cheese,fri doner meat top garlic sauc top hotsauc bulb lettuc tomato 3rd cucumb gouda chees
Keleya Zaara,Lamb,"['4 tbs Olive Oil', '750g Lamb', '1 1/2 tsp Saffron', '1 Large Chopped Onion', '25 ml Water', '30g Parsley', '1 tbs Butter', '1 Lemon']",4 tbs Olive Oil | 750g Lamb | 1 1/2 tsp Saffron | 1 Large Chopped Onion | 25 ml Water | 30g Parsley | 1 tbs Butter | 1 Lemon,Meat, olive oil |  lamb |   saffron |  large chopped onion |  water |  parsley |  butter |  lemon,oliv oil lamb saffron larg chop onion water parsley butter lemon
Lamb and Lemon Souvlaki,Lamb,"['2 cloves Garlic', '2 tsp Sea Salt', '4 tbs Olive Oil', 'Zest and juice of 1 Lemon', '1 tbs Dill', '750g Lamb Leg', 'To serve Pita Bread']",2 cloves Garlic | 2 tsp Sea Salt | 4 tbs Olive Oil | Zest and juice of 1 Lemon | 1 tbs Dill | 750g Lamb Leg | To serve Pita Bread,Meat, cloves garlic |  sea salt |  olive oil | zest and juice of  lemon |  dill |  lamb leg | to serve pita bread,clove garlic sea salt oliv oil zest juic lemon dill lamb leg serv pita bread
Lamb and Potato pie,Lamb,"['500g Lamb Shoulder', '1 tbls Flour', 'Dash Vegetable Oil', '1 sliced Onion', '2 sliced Carrots', '350ml/12fl Vegetable Stock', '500g Potatoes', '450g Shortcrust Pastry', 'To Glaze Eggs']",500g Lamb Shoulder | 1 tbls Flour | Dash Vegetable Oil | 1 sliced Onion | 2 sliced Carrots | 350ml/12fl Vegetable Stock | 500g Potatoes | 450g Shortcrust Pastry | To Glaze Eggs,Meat, lamb shoulder |  tbls flour | dash vegetable oil |  sliced onion |  sliced carrots | /12fl vegetable stock |  potatoes |  shortcrust pastry | to glaze eggs,lamb shoulder tbl flour dash veget oil slice onion slice carrot 12fl veget stock potato shortcrust pastri glaze egg
Lamb Biryani,Lamb,"['12 Cashew nuts', '½ tbsp Khus khus', '½ tbsp Cumin seeds', '3 sliced thinly Onions', '2 tsp Ginger garlic paste', '4 whole Garlic', 'Leaves Mint', 'Leaves Cilantro', '½ tsp dissolved in ½ cup warm milk Saffron', '2 tbsp Ghee', '2 Cups Basmati rice', '½ cup Full fat yogurt', '1 tbsp Cumin Seeds', '½ Bay leaf', '1 thin piece Cinnamon', '3 Cloves', '2 Cardamom', '1 lb Lamb', '1 tsp Red Chilli powder', '1 tbsp Biryani masala']",12 Cashew nuts | ½ tbsp Khus khus | ½ tbsp Cumin seeds | 3 sliced thinly Onions | 2 tsp Ginger garlic paste | 4 whole Garlic | Leaves Mint | Leaves Cilantro | ½ tsp dissolved in ½ cup warm milk Saffron | 2 tbsp Ghee | 2 Cups Basmati rice | ½ cup Full fat yogurt | 1 tbsp Cumin Seeds | ½ Bay leaf | 1 thin piece Cinnamon | 3 Cloves | 2 Cardamom | 1 lb Lamb | 1 tsp Red Chilli powder | 1 tbsp Biryani masala,Meat, cashew nuts |  khus khus |  cumin seeds |  sliced thinly onions |  ginger garlic paste |  whole garlic | leaves mint | leaves cilantro |  dissolved in  warm milk saffron |  ghee |  basmati rice |  full fat yogurt |  cumin seeds | ½ bay leaf |  thin piece cinnamon |  cloves |  cardamom |  lamb |  red chilli powder |  biryani masala,cashew nut khu khu cumin seed slice thinli onion ginger garlic past whole garlic leav mint leav cilantro dissolv warm milk saffron ghee basmati rice full fat yogurt cumin seed ½ bay leaf thin piec cinnamon clove cardamom lamb red chilli powder biryani masala
Lamb Pilaf (Plov),Lamb,"['50g Lamb', '120g Prunes', '1 tbs Lemon Juice', '2 tbs Butter', '1 chopped Onion', '450g Lamb', '2 cloves Garlic', '600ml Vegetable Stock', '2 cups Rice', 'Pinch Saffron', 'Garnish Parsley']",50g Lamb | 120g Prunes | 1 tbs Lemon Juice | 2 tbs Butter | 1 chopped Onion | 450g Lamb | 2 cloves Garlic | 600ml Vegetable Stock | 2 cups Rice | Pinch Saffron | Garnish Parsley,Meat, lamb |  prunes |  lemon juice |  butter |  onion |  lamb |  cloves garlic |  vegetable stock |  rice | pinch saffron | garnish parsley,lamb prune lemon juic butter onion lamb clove garlic veget stock rice pinch saffron garnish parsley
Lamb Rogan josh,Lamb,"['2 quartered Onion', '4 tbsp Sunflower Oil', '4 cloves Garlic', 'Thumb sized peeled and very finely grated Ginger', '2 tbsp Madras Paste', '2 tsp Paprika', '1 cinnamon stick', '6 bashed to break shells Cardamom', '4 Clove', '2 Bay Leaf', '1 tbsp Tomato Purée', '1kg cubed Lamb', '150ml Greek yogurt', 'Garnish chopped Coriander']",2 quartered Onion | 4 tbsp Sunflower Oil | 4 cloves Garlic | Thumb sized peeled and very finely grated Ginger | 2 tbsp Madras Paste | 2 tsp Paprika | 1 cinnamon stick | 6 bashed to break shells Cardamom | 4 Clove | 2 Bay Leaf | 1 tbsp Tomato Purée | 1kg cubed Lamb | 150ml Greek yogurt | Garnish chopped Coriander,Meat, quartered onion |  sunflower oil |  cloves garlic | thumb sized peeled and very finely grated ginger |  madras paste |  paprika |  cinnamon stick |  bashed to break shells cardamom |  clove |  bay leaf |  tomato purée |  cubed lamb |  greek yogurt | garnish chopped coriander,quarter onion sunflow oil clove garlic thumb size peel fine grate ginger madra past paprika cinnamon stick bash break shell cardamom clove bay leaf tomato puré cube lamb greek yogurt garnish chop coriand
Lamb Tagine,Lamb,"['2 tblsp Olive Oil', '1 finely sliced Onion', '2 chopped Carrots', '500g Lamb Leg', '2 cloves minced Garlic', '½ tsp Cumin', '½ tsp Ginger', '¼ tsp Saffron', '1 tsp Cinnamon', '1 tblsp Honey', '100g Apricot', '1 Vegetable Stock Cube', '1 medium chopped Butternut Squash', 'Steamed Couscous', 'Chopped Parsley']",2 tblsp Olive Oil | 1 finely sliced Onion | 2 chopped Carrots | 500g Lamb Leg | 2 cloves minced Garlic | ½ tsp Cumin | ½ tsp Ginger | ¼ tsp Saffron | 1 tsp Cinnamon | 1 tblsp Honey | 100g Apricot | 1 Vegetable Stock Cube | 1 medium chopped Butternut Squash | Steamed Couscous | Chopped Parsley,Meat, olive oil |  finely sliced onion |  carrots |  lamb leg |  cloves minced garlic |  cumin |  ginger | ¼ tsp saffron |  cinnamon |  honey |  apricot |  vegetable stock cube |  medium chopped butternut squash | steamed couscous | chopped parsley,oliv oil fine slice onion carrot lamb leg clove minc garlic cumin ginger ¼ tsp saffron cinnamon honey apricot veget stock cube medium chop butternut squash steam couscou chop parsley
Lamb tomato and sweet spices,Lamb,"['2 tbsp olive oil', '4cm piece finely chopped ginger', '2 cloves peeled and chopped garlic', '800g peeled and chopped tomatoes', '2 tbsp lemon juice', '1 tsp caster sugar', '50 vine leaves', '1 large fennel bulb', '400g lamb mince', '1 medium onion', '1 small peeled and coarsely grated potato', '2 tbsp basmati rice', '2 tbsp chopped parsley', '2 tbsp chopped coriander', '1 tbsp lemon juice', '2 cloves garlic', '½ tsp ground clove', '½ tsp ground cinnamon', '2 medium tomatoes']",2 tbsp olive oil | 4cm piece finely chopped ginger | 2 cloves peeled and chopped garlic | 800g peeled and chopped tomatoes | 2 tbsp lemon juice | 1 tsp caster sugar | 50 vine leaves | 1 large fennel bulb | 400g lamb mince | 1 medium onion | 1 small peeled and coarsely grated potato | 2 tbsp basmati rice | 2 tbsp chopped parsley | 2 tbsp chopped coriander | 1 tbsp lemon juice | 2 cloves garlic | ½ tsp ground clove | ½ tsp ground cinnamon | 2 medium tomatoes,Meat, olive oil |  piece finely chopped ginger |  cloves peeled and chopped garlic |  peeled and chopped tomatoes |  lemon juice |  caster sugar |  vine leaves |  large fennel bulb |  lamb mince |  medium onion |  small peeled and coarsely grated potato |  basmati rice |  chopped parsley |  chopped coriander |  lemon juice |  cloves garlic |  ground clove |  ground cinnamon |  medium tomatoes,oliv oil piec fine chop ginger clove peel chop garlic peel chop tomato lemon juic caster sugar vine leav larg fennel bulb lamb minc medium onion small peel coars grate potato basmati rice chop parsley chop coriand lemon juic clove garlic ground clove ground cinnamon medium tomato
Lamb Tzatziki Burgers,Lamb,"['25g Bulgur Wheat', '500g Lamb Mince', '1 tsp Cumin', '1 tsp Coriander', '1 tsp Paprika', '1 clove finely chopped Garlic', 'For frying Olive Oil', '4 Bun', 'Grated Cucumber', '200g Greek Yogurt', '2 tbs Mint']",25g Bulgur Wheat | 500g Lamb Mince | 1 tsp Cumin | 1 tsp Coriander | 1 tsp Paprika | 1 clove finely chopped Garlic | For frying Olive Oil | 4 Bun | Grated Cucumber | 200g Greek Yogurt | 2 tbs Mint,Meat, bulgur wheat |  lamb mince |  cumin |  coriander |  paprika |  clove finely chopped garlic | for frying olive oil |  bun | grated cucumber |  greek yogurt |  mint,bulgur wheat lamb minc cumin coriand paprika clove fine chop garlic fri oliv oil bun grate cucumb greek yogurt mint
Lancashire hotpot,Lamb,"['100g Butter', '900g Lamb', '3 Lamb Kidney', '2 medium Onions', '4 sliced Carrots', '25g Plain Flour', '2 tsp Worcestershire Sauce', '500ml Chicken Stock', '2 Bay Leaves', '900g Potatoes']",100g Butter | 900g Lamb | 3 Lamb Kidney | 2 medium Onions | 4 sliced Carrots | 25g Plain Flour | 2 tsp Worcestershire Sauce | 500ml Chicken Stock | 2 Bay Leaves | 900g Potatoes,Meat, butter |  lamb |  lamb kidney |  medium onions |  sliced carrots |  plain flour |  worcestershire sauce |  chicken stock |  bay leaves |  potatoes,butter lamb lamb kidney medium onion slice carrot plain flour worcestershir sauc chicken stock bay leav potato
McSinghs Scotch pie,Lamb,"['2 tsp Cumin', '1 tbs Rapeseed Oil', '2 finely chopped Red Onions', '6 Garlic Clove', '3 finely chopped Green Chilli', '1 finely chopped Red Pepper', '1 tsp Nutmeg', '2 tsp Coriander', '1kg Lamb Mince', '1 tsp Pepper', '3 tbs Coriander', '340g Plain Flour', '½ tsp Salt', '90 ml Milk', '150g Lard', 'Beaten Egg Yolks']",2 tsp Cumin | 1 tbs Rapeseed Oil | 2 finely chopped Red Onions | 6 Garlic Clove | 3 finely chopped Green Chilli | 1 finely chopped Red Pepper | 1 tsp Nutmeg | 2 tsp Coriander | 1kg Lamb Mince | 1 tsp Pepper | 3 tbs Coriander | 340g Plain Flour | ½ tsp Salt | 90 ml Milk | 150g Lard | Beaten Egg Yolks,Meat, cumin |  rapeseed oil |  finely chopped red onions |  garlic clove |  finely chopped green chilli |  finely chopped red pepper |  nutmeg |  coriander |  lamb mince |  pepper |  coriander |  plain flour |  salt |  milk |  lard | beaten egg yolks,cumin rapese oil fine chop red onion garlic clove fine chop green chilli fine chop red pepper nutmeg coriand lamb minc pepper coriand plain flour salt milk lard beaten egg yolk
Rigatoni with fennel sausage sauce,Lamb,"['2½ tbsp olive oil', '6 cut into 1.5cm-thick slices Italian fennel sausages', '1 large peeled and chopped onion', '1 trimmed and roughly chopped; reserve any fronds to garnish fennel bulb', '½ tsp smoky paprika', '1 clove, peeled and sliced garlic', '2 tsp lightly toasted and then gently crushed fennel seeds', '100ml red wine', '400g tinned chopped tomatoes', '½ tsp caster sugar', '50g cut in half lengthways pitted black olives', '500g rigatoni', '30g roughly crumbled into 0.5cm pieces pecorino', '1  rinsed and patted dry anchovy fillet', '1 clove, peeled and crushed garlic', '60ml olive oil', '50g torn basil leaves']","2½ tbsp olive oil | 6 cut into 1.5cm-thick slices Italian fennel sausages | 1 large peeled and chopped onion | 1 trimmed and roughly chopped; reserve any fronds to garnish fennel bulb | ½ tsp smoky paprika | 1 clove, peeled and sliced garlic | 2 tsp lightly toasted and then gently crushed fennel seeds | 100ml red wine | 400g tinned chopped tomatoes | ½ tsp caster sugar | 50g cut in half lengthways pitted black olives | 500g rigatoni | 30g roughly crumbled into 0.5cm pieces pecorino | 1  rinsed and patted dry anchovy fillet | 1 clove, peeled and crushed garlic | 60ml olive oil | 50g torn basil leaves",Meat,"2½ tbsp olive oil |  cut into .-thick slices italian fennel sausages |  large peeled and chopped onion |  trimmed and roughly chopped; reserve any fronds to garnish fennel bulb |  smoky paprika |  clove, peeled and sliced garlic |  lightly toasted and then gently crushed fennel seeds |  red wine |  tinned chopped tomatoes |  caster sugar |  cut in half lengthways pitted black olives |  rigatoni |  roughly crumbled into . pieces pecorino |   rinsed and patted dry anchovy fillet |  clove, peeled and crushed garlic |  olive oil |  torn basil leaves",2½ tbsp oliv oil cut thick slice italian fennel sausag larg peel chop onion trim roughli chop reserv frond garnish fennel bulb smoki paprika clove peel slice garlic lightli toast gentli crush fennel seed red wine tin chop tomato caster sugar cut half lengthway pit black oliv rigatoni roughli crumbl piec pecorino rins pat dri anchovi fillet clove peel crush garlic oliv oil torn basil leav
Stuffed Lamb Tomatoes,Lamb,"['4 large Tomatoes', 'Pinch Sugar', '4 tbs Olive Oil', '1 chopped Onion', '2 finely chopped Garlic Clove', '200g Lamb', '1 tbs Cinnamon', '2 tbs chopped Tomato Puree', '50g Rice', '100ml Chicken Stock', '4 tbs Dill', '2 tbs Chopped Parsley', '1 tbs Mint']",4 large Tomatoes | Pinch Sugar | 4 tbs Olive Oil | 1 chopped Onion | 2 finely chopped Garlic Clove | 200g Lamb | 1 tbs Cinnamon | 2 tbs chopped Tomato Puree | 50g Rice | 100ml Chicken Stock | 4 tbs Dill | 2 tbs Chopped Parsley | 1 tbs Mint,Meat, large tomatoes | pinch sugar |  olive oil |  onion |  finely chopped garlic clove |  lamb |  cinnamon |  chopped tomato puree |  rice |  chicken stock |  dill |  chopped parsley |  mint,larg tomato pinch sugar oliv oil onion fine chop garlic clove lamb cinnamon chop tomato pure rice chicken stock dill chop parsley mint
Tunisian Lamb Soup,Lamb,"['500g Lamb Mince', '2 cloves minced Garlic', '1 Onion', '300g Spinach', '3 tbs Tomato Puree', '1 tbs Cumin', '1 Litre Chicken Stock', '3 tsp Harissa Spice', '400g Chickpeas', '1/2 Lemon Juice', '150g Macaroni', 'Pinch Salt', 'Pinch Pepper']",500g Lamb Mince | 2 cloves minced Garlic | 1 Onion | 300g Spinach | 3 tbs Tomato Puree | 1 tbs Cumin | 1 Litre Chicken Stock | 3 tsp Harissa Spice | 400g Chickpeas | 1/2 Lemon Juice | 150g Macaroni | Pinch Salt | Pinch Pepper,Meat, lamb mince |  cloves minced garlic |  onion |  spinach |  tomato puree |  cumin |  chicken stock |  harissa spice |  chickpeas | / lemon juice |  macaroni | pinch salt | pinch pepper,lamb minc clove minc garlic onion spinach tomato pure cumin chicken stock harissa spice chickpea lemon juic macaroni pinch salt pinch pepper
Bean & Sausage Hotpot,Miscellaneous,"['8 large Sausages', '1 Jar Tomato Sauce', '1200g Butter Beans', '1 tbls Black Treacle', '1 tsp English Mustard']",8 large Sausages | 1 Jar Tomato Sauce | 1200g Butter Beans | 1 tbls Black Treacle | 1 tsp English Mustard,Non-Meat, large sausages |  jar tomato sauce |  butter beans |  tbls black treacle |  english mustard,larg sausag jar tomato sauc butter bean tbl black treacl english mustard
Callaloo Jamaican Style,Miscellaneous,"['1  bunch Kale', '2 strips Bacon', '3 cloves Chopped Garlic', '1 medium Onion', '1/2 tsp Paprika', '1 Sprig Thyme', '1 Tomato', '1 Red Pepper', '4 Banana', 'Splash Vegetable Oil']",1  bunch Kale | 2 strips Bacon | 3 cloves Chopped Garlic | 1 medium Onion | 1/2 tsp Paprika | 1 Sprig Thyme | 1 Tomato | 1 Red Pepper | 4 Banana | Splash Vegetable Oil,Non-Meat,  bunch kale |  strips bacon |  cloves chopped garlic |  medium onion |  paprika |  sprig thyme |  tomato |  red pepper |  banana | splash vegetable oil,bunch kale strip bacon clove chop garlic medium onion paprika sprig thyme tomato red pepper banana splash veget oil
Chakchouka ,Miscellaneous,"['4 Tomatoes', '2 tbs Olive Oil', '1 Diced Onion', '1 sliced Red Pepper', '1 sliced Green Pepper', '3 Cloves Crushed Garlic', '1 tsp Cumin', '1 tsp Paprika', '3/4 teaspoon Salt', '1/2 teaspoon Chili Powder', '4 Eggs']",4 Tomatoes | 2 tbs Olive Oil | 1 Diced Onion | 1 sliced Red Pepper | 1 sliced Green Pepper | 3 Cloves Crushed Garlic | 1 tsp Cumin | 1 tsp Paprika | 3/4 teaspoon Salt | 1/2 teaspoon Chili Powder | 4 Eggs,Non-Meat, tomatoes |  olive oil |  diced onion |  sliced red pepper |  sliced green pepper |  cloves crushed garlic |  cumin |  paprika |  salt |  chili powder |  eggs,tomato oliv oil dice onion slice red pepper slice green pepper clove crush garlic cumin paprika salt chili powder egg
Duck Confit,Miscellaneous,"['Handful Sea Salt', '4 Bay Leaf', '4 cloves Garlic', 'Handful Thyme', '4 Duck Legs', '100ml White Wine']",Handful Sea Salt | 4 Bay Leaf | 4 cloves Garlic | Handful Thyme | 4 Duck Legs | 100ml White Wine,Non-Meat,handful sea salt |  bay leaf |  cloves garlic | handful thyme |  duck legs |  white wine,hand sea salt bay leaf clove garlic hand thyme duck leg white wine
French Lentils With Garlic and Thyme,Miscellaneous,"['3 tablespoons Olive Oil', '1 Onion', '2 cloves Garlic', '1 Carrot', '2 1/4 cups French Lentils', '1 teaspoon Thyme', '3 Bay Leaf', '1 tablespoon Salt', '2 sticks Celery']",3 tablespoons Olive Oil | 1 Onion | 2 cloves Garlic | 1 Carrot | 2 1/4 cups French Lentils | 1 teaspoon Thyme | 3 Bay Leaf | 1 tablespoon Salt | 2 sticks Celery,Non-Meat, olive oil |  onion |  cloves garlic |  carrot |   french lentils |  thyme |  bay leaf |  salt |  sticks celery,oliv oil onion clove garlic carrot french lentil thyme bay leaf salt stick celeri
French Omelette,Miscellaneous,"['3 Eggs', '2 knobs Butter', '1 tsp Parmesan', '3 chopped Tarragon', '1 tbs chopped Parsley', '1 tbs chopped Chives', '4 tbs Gruyère']",3 Eggs | 2 knobs Butter | 1 tsp Parmesan | 3 chopped Tarragon | 1 tbs chopped Parsley | 1 tbs chopped Chives | 4 tbs Gruyère,Non-Meat, eggs |  knobs butter |  parmesan |  tarragon |  chopped parsley |  chopped chives |  gruyère,egg knob butter parmesan tarragon chop parsley chop chive gruyèr
Osso Buco alla Milanese,Miscellaneous,"['4 meaty shanks Veal', '½ cup Flour', '2 tablespoons Olive Oil', '3 tablespoons Butter', '1 medium chopped into ½-inch pieces Onion', '1 chopped into ½-inch pieces Carrot', '1 chopped into ½-inch pieces Celery', '1 bulb chopped into ½-inch pieces Fennel', '3 cloves Garlic', '2 strips Orange Zest', '1 ½ teaspoons Marjoram', '1 Bay Leaf', '1 cup Dry White Wine', '½ cup Chicken Stock', '1 cup chopped with juice Tomatoes', '2 tablespoons chopped Parsley', '1 teaspoon minced Garlic', '1 teaspoon grated Lemon Zest']",4 meaty shanks Veal | ½ cup Flour | 2 tablespoons Olive Oil | 3 tablespoons Butter | 1 medium chopped into ½-inch pieces Onion | 1 chopped into ½-inch pieces Carrot | 1 chopped into ½-inch pieces Celery | 1 bulb chopped into ½-inch pieces Fennel | 3 cloves Garlic | 2 strips Orange Zest | 1 ½ teaspoons Marjoram | 1 Bay Leaf | 1 cup Dry White Wine | ½ cup Chicken Stock | 1 cup chopped with juice Tomatoes | 2 tablespoons chopped Parsley | 1 teaspoon minced Garlic | 1 teaspoon grated Lemon Zest,Meat, meaty shanks veal |  flour |  olive oil |  butter |  medium chopped into ½-inch pieces onion |  into ½-inch pieces carrot |  into ½-inch pieces celery |  bulb chopped into ½-inch pieces fennel |  cloves garlic |  strips orange zest |   marjoram |  bay leaf |  dry white wine |  chicken stock |  chopped with juice tomatoes |  chopped parsley |  minced garlic |  grated lemon zest,meati shank veal flour oliv oil butter medium chop ½ inch piec onion ½ inch piec carrot ½ inch piec celeri bulb chop ½ inch piec fennel clove garlic strip orang zest marjoram bay leaf dri white wine chicken stock chop juic tomato chop parsley minc garlic grate lemon zest
Pizza Express Margherita,Miscellaneous,"['150ml Water', '1 tsp Sugar', '15g Yeast', '225g Plain Flour', '1 1/2 tsp Salt', 'Drizzle Olive Oil', '80g Passata', '70g Mozzarella', 'Peeled and Sliced Oregano', 'Leaves Basil', 'Pinch Black Pepper']",150ml Water | 1 tsp Sugar | 15g Yeast | 225g Plain Flour | 1 1/2 tsp Salt | Drizzle Olive Oil | 80g Passata | 70g Mozzarella | Peeled and Sliced Oregano | Leaves Basil | Pinch Black Pepper,Non-Meat, water |  sugar |  yeast |  plain flour |   salt | drizzle olive oil |  passata |  mozzarella | peeled and sliced oregano | leaves basil | pinch black pepper,water sugar yeast plain flour salt drizzl oliv oil passata mozzarella peel slice oregano leav basil pinch black pepper
Poutine,Miscellaneous,"['Dash Vegetable Oil', '1 Can Beef Gravy', '5 thin cut Potatoes', '2 cups Cheese Curds']",Dash Vegetable Oil | 1 Can Beef Gravy | 5 thin cut Potatoes | 2 cups Cheese Curds,Meat,dash vegetable oil |  can beef gravy |  thin cut potatoes |  cheese curds,dash veget oil beef gravi thin cut potato chees curd
Three-cheese souffles,Miscellaneous,"['50g Butter', '25g Parmesan', '300ml Milk', '2 Bay Leaves', '5 tbs Plain Flour', '½ tsp English Mustard', 'Pod of Cayenne Pepper', '140g Gruyère', '3 Eggs', '8 slices Goats Cheese', '150ml Double Cream', 'to serve Spinach']",50g Butter | 25g Parmesan | 300ml Milk | 2 Bay Leaves | 5 tbs Plain Flour | ½ tsp English Mustard | Pod of Cayenne Pepper | 140g Gruyère | 3 Eggs | 8 slices Goats Cheese | 150ml Double Cream | to serve Spinach,Meat, butter |  parmesan |  milk |  bay leaves |  plain flour |  english mustard | pod of cayenne pepper |  gruyère |  eggs |  goats cheese |  double cream | to serve spinach,butter parmesan milk bay leav plain flour english mustard pod cayenn pepper gruyèr egg goat chees doubl cream serv spinach
